Name,Black,East Asian,Hispanic/Latino,South Asian,White,Other,Male,Female
22_jump_street,0.11045068039006256,0.0,0.0016687242512935046,0.0,0.911420288246799,0.0,0.9017559930844063,0.09824400691559364
27.dresses_tt0988595,0.0,0.0,0.0,0.0,1.0,0.0,0.3377202497167788,0.6622797502832213
2_fast_2_furious_fs,0.3796521343786094,0.0014352068024870365,0.10799316802241281,0.022553513061856455,0.5292773586296727,0.0,0.8987943748830934,0.10120562511690652
3.ninjas_tt0103596,0.027004759651515574,0.3193921006485373,0.019083140813315896,0.07820858964010355,0.595067776324213,0.0013889275475269295,0.9506784586756989,0.04932154132430116
300,0.028389125208063633,0.0,0.07673955413922129,0.005270945071203994,0.917271058883783,0.0,0.8637897673581425,0.13621023264185753
300_rise_of_an_empire,0.013364427180216652,0.0,0.07251340409235148,0.009603074734653681,0.9561166429587481,0.0,0.675115966940592,0.32488403305940805
310.to.yuma_tt0381849,0.0,0.0024530407134288035,0.006307099891777616,0.0,0.9950939185731422,0.0,0.9277369274613847,0.07226307253861536
355_tt8356942,0.17203700412191386,0.05242532734090005,0.14839397709671687,0.0,0.6548324573208406,0.0,0.2510172797097843,0.7489827202902156
40_year_old_virgin,0.10867211403904083,0.0,0.005261378999549347,0.005161167903987096,0.8833673299969165,0.0,0.7761515902450923,0.22384840975490766
42_tt0453562,0.5279617780316302,0.0,0.009524618127648406,0.0,0.47145624773269323,0.0006043578601255026,0.9040220096947464,0.0959779903052535
48_hours,0.33750840887977707,0.0,0.004099262154168136,0.004219922905254617,0.6551622513374126,0.0031094168775560324,0.9146627131208303,0.08533728687916975
500.days.of.sum_tt1022603,0.0,0.10895416392152167,0.012336467789823141,0.024672935579646282,0.9146817485646807,0.006168233894911571,0.6429928759667493,0.3570071240332507
5050_tt1306980,0.0,0.09708650765396937,0.009701673193307225,0.0,0.9514567461730153,0.0,0.7244885735961561,0.27551142640384385
50_first_dates,0.001997452753320518,0.007131499632152265,0.029209483351923488,0.019693697542144277,0.9576571659111947,0.005774022830291667,0.6667179374496448,0.33328206255035525
8_below,0.0,0.12209915982943269,0.019366142674191136,0.005297155804494983,0.9117370561661765,0.019267630212364724,0.837239482949143,0.16276051705085703
8_mile,0.38787376420334224,0.008633332929972546,0.017149892907706993,0.0,0.6104768934764458,0.0,0.8621611637847632,0.13783883621523685
8mm_tt0134273,0.0,0.0,0.00803078974483302,0.0,1.0,0.0,0.8535593552496203,0.14644064475037968
